Quantity,Hardware Description with Size,Grade,Length (in)
83,"SS 1/4""-20 Hex Bolt",ASTM A307 Grade B,19.047
69,"SS 1/2""-13 Hex Bolt",ASTM A490,12.155
68,SS M12x1.75 Hex Bolt,ASTM A490,19.483
104,"SS 1/2"" Flat Washer",SAE J429 Grade 2,9.641
154,"SS 1/4""-20 Hex Bolt",SAE J429 Grade 2,0.721
42,"ASTM F1554 5/8"" Anchor Bolt",ASTM A325,0.327
121,"SS 1/2"" Flat Washer",SAE J429 Grade 2,19.966
58,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 36,5.384
97,"SS 1/2""-13 Hex Bolt",ASTM F1554 Grade 55,5.216
159,"SS 3/4""-10 Hex Bolt",ASTM B8 Class 1,15.59
149,SS M16x2.0 Hex Bolt,SAE J429 Grade 5,11.389
58,"SS 5/8""-11 Hex Bolt",ASTM A307 Grade B,6.484
50,"SS 1/2""-13 Hex Bolt",ASTM A490,18.258
77,"SS 3/4"" Flat Washer",SAE Grade 5,12.593
186,ASTM A307 M12 All Thread Rod,ASTM F1554 Grade 105,13.168
42,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 5,1.976
85,"ASTM A307 1/2"" All Thread Rod",ASTM A325,3.444
199,SS M8x1.25 Hex Bolt,SAE Grade 8,2.351
146,SS M8x1.25 Hex Bolt,ASTM A325,11.362
29,"Steel 3/4"" Turnbuckle",ASTM F1554 Grade 105,16.699
61,"ASTM A502 3/4"" Solid Rivet",ASTM F1554 Grade 105,18.456
25,"ASTM A307 1/2"" All Thread Rod",ASTM A354 Grade BC,8.995
100,"ASTM A449 3/4"" Stud",ASTM B8 Class 1,9.394
112,SS M8x1.25 Hex Bolt,ASTM A354 Grade BD,3.649
174,"SS 1/2"" Flat Washer",SAE J429 Grade 5,8.366
122,SS M8x1.25 Hex Bolt,SAE J429 Grade 8,17.642
152,"ASTM A449 1/2"" Stud",ASTM A354 Grade BD,15.706
154,"ASTM A307 3/4"" All Thread Rod",ASTM B8 Class 1,12.132
115,"SS 1/2""-13 Hex Bolt",ASTM A325,18.32
188,"Aluminum 3/4"" Turnbuckle",ASTM A307 Grade A,12.69
108,"ASTM A307 1/2"" All Thread Rod",SAE J429 Grade 8,14.261
73,"Aluminum 5/8"" Turnbuckle",ASTM F1554 Grade 105,17.329
112,"Steel 5/8"" Turnbuckle",ASTM A325,2.749
129,"SS 3/8""-16 Hex Bolt",ASTM F1554 Grade 55,5.533
142,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade A,14.766
80,ASTM A307 M12 All Thread Rod,ASTM A307 Grade A,17.111
64,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 105,0.57
69,ASTM A307 M12 All Thread Rod,SAE Grade 8,16.725
117,"ASTM F1554 3/4"" Anchor Bolt",ASTM A325,2.346
44,"A563 3/4"" Heavy Hex Nut",ASTM A307 Grade B,18.455
31,"ASTM A307 3/4"" All Thread Rod",ASTM A325,3.868
38,"ASTM A307 1/2"" All Thread Rod",ASTM A325,18.648
25,"ASTM A307 1/2"" All Thread Rod",SAE J429 Grade 5,2.447
119,"A563 5/8"" Heavy Hex Nut",ASTM A307 Grade A,19.194
193,"ASTM A502 3/4"" Solid Rivet",ASTM F1554 Grade 36,10.057
48,"ASTM A449 1/2"" Stud",SAE Grade 5,16.162
143,"Steel 3/4"" Turnbuckle",ASTM B8 Class 1,14.321
54,SS M16x2.0 Hex Bolt,ASTM A354 Grade BD,4.507
196,"SS 3/4"" Flat Washer",ASTM A354 Grade BD,2.254
62,ASTM A307 M12 All Thread Rod,ASTM A307 Grade A,5.681
11,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BC,14.572
185,ASTM A307 M12 All Thread Rod,ASTM A354 Grade BD,0.615
147,"SS 5/8""-11 Hex Bolt",SAE J429 Grade 5,18.583
175,"Aluminum 5/8"" Turnbuckle",ASTM A307 Grade B,19.845
97,"A563 3/4"" Heavy Hex Nut",ASTM A490,4.421
79,"SS 1""-8 Hex Bolt",ASTM A307 Grade B,3.169
67,ASTM A307 M12 All Thread Rod,SAE J429 Grade 8,9.933
14,ASTM A307 M12 All Thread Rod,SAE Grade 5,15.372
149,"Aluminum 5/8"" Turnbuckle",ASTM F1554 Grade 55,14.766
172,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BC,2.387
48,"A563 5/8"" Heavy Hex Nut",SAE Grade 8,8.035
155,"SS 5/8""-11 Hex Bolt",ASTM F1554 Grade 36,15.396
9,"SS 3/8""-16 Hex Bolt",ASTM F1554 Grade 36,12.729
54,"SS 1""-8 Hex Bolt",ASTM A325,14.364
105,SS M10x1.5 Hex Bolt,ASTM A307 Grade A,17.583
158,"A563 5/8"" Heavy Hex Nut",ASTM F1554 Grade 55,10.443
16,"ASTM A449 1/2"" Stud",ASTM A307 Grade A,18.392
54,SS M10x1.5 Hex Bolt,ASTM A354 Grade BD,1.1
189,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,12.042
45,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,4.141
114,"SS 5/8""-11 Hex Bolt",SAE J429 Grade 5,10.884
115,ASTM A307 M12 All Thread Rod,ASTM F1554 Grade 105,8.743
69,SS M10x1.5 Hex Bolt,SAE Grade 8,16.196
21,"ASTM F1554 3/4"" Anchor Bolt",ASTM B8 Class 1,16.017
122,"A563 3/4"" Heavy Hex Nut",ASTM A307 Grade A,3.035
170,SS M8x1.25 Hex Bolt,ASTM A354 Grade BC,19.717
94,"ASTM F1554 3/4"" Anchor Bolt",ASTM A307 Grade B,9.78
101,"ASTM A449 3/4"" Stud",ASTM B8 Class 1,7.307
65,"A563 5/8"" Heavy Hex Nut",SAE Grade 5,14.923
110,"ASTM A307 3/4"" All Thread Rod",SAE J429 Grade 8,4.236
172,SS M8x1.25 Hex Bolt,ASTM A307 Grade B,6.738
89,"Aluminum 5/8"" Turnbuckle",ASTM A307 Grade A,16.912
147,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 2,2.449
111,SS M10x1.5 Hex Bolt,SAE J429 Grade 2,2.419
67,"SS 1/4""-20 Hex Bolt",ASTM A307 Grade A,18.073
