Quantity,Material with Thickness,Grade,Length (ft)
12,C8x11.5 Channel,ASTM A500 Grade C,33.69
38,L4x4x3/8 Angle,ASTM A500 Grade B,6.57
15,HSS6x6x3/8 Hollow Structural Section,ASTM A36,24.25
40,W10x22 Wide Flange Beam,ASTM A36,21.6
13,W10x22 Wide Flange Beam,ASTM A992,5.7
4,L4x4x3/8 Angle,ASTM A992,23.4
4,W10x22 Wide Flange Beam,ASTM A572 Grade 50,30.54
39,C10x15.3 Channel,ASTM A572 Grade 50,17.7
45,PL 3/8 Steel Plate,ASTM A709 Grade 50,38.21
40,C8x11.5 Channel,ASTM A500 Grade C,4.93
17,L4x4x3/8 Angle,ASTM A709 Grade 50,37.45
42,PL 1/2 Steel Plate,ASTM A588,31.62
49,W8x18 Wide Flange Beam,ASTM A500 Grade B,22.46
10,C8x11.5 Channel,ASTM A500 Grade B,4.13
47,HSS6x6x3/8 Hollow Structural Section,ASTM A36,24.87
12,PL 3/8 Steel Plate,ASTM A572 Grade 50,36.97
10,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,39.47
43,L3x3x1/4 Angle,ASTM A36,24.7
22,HSS6x6x3/8 Hollow Structural Section,ASTM A588,37.56
46,W8x18 Wide Flange Beam,ASTM A500 Grade B,28.23
45,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,17.04
22,PL 3/8 Steel Plate,ASTM A500 Grade B,3.67
17,HSS4x4x1/4 Hollow Structural Section,ASTM A588,29.21
49,C10x15.3 Channel,ASTM A709 Grade 50,4.99
24,L3x3x1/4 Angle,ASTM A500 Grade B,36.1
15,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,21.79
39,PL 1/2 Steel Plate,ASTM A500 Grade C,18.06
1,L4x4x3/8 Angle,ASTM A500 Grade B,39.24
3,W10x22 Wide Flange Beam,ASTM A588,9.39
33,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,22.79
33,HSS6x6x3/8 Hollow Structural Section,ASTM A36,8.13
50,HSS4x4x1/4 Hollow Structural Section,ASTM A992,3.44
16,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,23.35
18,L4x4x3/8 Angle,ASTM A709 Grade 50,39.7
9,L3x3x1/4 Angle,ASTM A992,5.17
26,W10x22 Wide Flange Beam,ASTM A588,39.0
2,C8x11.5 Channel,ASTM A500 Grade B,7.13
27,L4x4x3/8 Angle,ASTM A709 Grade 50,8.7
50,HSS6x6x3/8 Hollow Structural Section,ASTM A36,14.45
22,HSS6x6x3/8 Hollow Structural Section,ASTM A992,4.11
8,C8x11.5 Channel,ASTM A588,21.38
44,C10x15.3 Channel,ASTM A572 Grade 50,9.98
45,PL 1/2 Steel Plate,ASTM A992,7.61
4,C10x15.3 Channel,ASTM A709 Grade 50,20.24
50,PL 3/8 Steel Plate,ASTM A572 Grade 50,9.46
50,W10x22 Wide Flange Beam,ASTM A588,39.91
4,W8x18 Wide Flange Beam,ASTM A992,36.58
37,HSS4x4x1/4 Hollow Structural Section,ASTM A36,13.85
15,L3x3x1/4 Angle,ASTM A36,22.79
29,PL 3/8 Steel Plate,ASTM A588,29.78
44,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,21.31
9,L3x3x1/4 Angle,ASTM A992,7.62
25,C8x11.5 Channel,ASTM A500 Grade B,12.32
43,W8x18 Wide Flange Beam,ASTM A709 Grade 50,8.29
49,HSS6x6x3/8 Hollow Structural Section,ASTM A588,22.93
45,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,9.59
48,W10x22 Wide Flange Beam,ASTM A36,36.9
11,PL 1/2 Steel Plate,ASTM A992,23.57
49,W8x18 Wide Flange Beam,ASTM A709 Grade 50,23.18
50,L4x4x3/8 Angle,ASTM A500 Grade B,27.06
23,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,14.02
36,L3x3x1/4 Angle,ASTM A36,39.82
16,C10x15.3 Channel,ASTM A500 Grade C,39.54
28,PL 1/2 Steel Plate,ASTM A572 Grade 50,6.73
47,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,8.63
30,L4x4x3/8 Angle,ASTM A709 Grade 50,29.07
14,PL 1/2 Steel Plate,ASTM A588,19.37
15,L3x3x1/4 Angle,ASTM A588,35.77
32,C8x11.5 Channel,ASTM A709 Grade 50,7.49
36,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,24.62
26,W10x22 Wide Flange Beam,ASTM A36,5.63
20,C8x11.5 Channel,ASTM A36,33.63
31,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,39.62
36,HSS4x4x1/4 Hollow Structural Section,ASTM A588,13.58
12,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,33.61
36,PL 1/2 Steel Plate,ASTM A572 Grade 50,28.75
15,PL 1/2 Steel Plate,ASTM A500 Grade C,1.44
26,PL 1/2 Steel Plate,ASTM A500 Grade C,39.95
14,C8x11.5 Channel,ASTM A588,34.94
40,C10x15.3 Channel,ASTM A572 Grade 50,25.68
34,W8x18 Wide Flange Beam,ASTM A709 Grade 50,35.87
37,C10x15.3 Channel,ASTM A992,29.61
28,W8x18 Wide Flange Beam,ASTM A992,19.8
1,HSS4x4x1/4 Hollow Structural Section,ASTM A992,38.84
22,PL 3/8 Steel Plate,ASTM A992,9.61
5,C8x11.5 Channel,ASTM A709 Grade 50,17.81
7,C10x15.3 Channel,ASTM A992,27.46
24,PL 1/2 Steel Plate,ASTM A36,20.87
39,PL 3/8 Steel Plate,ASTM A709 Grade 50,30.05
5,HSS4x4x1/4 Hollow Structural Section,ASTM A36,1.45
2,PL 1/2 Steel Plate,ASTM A500 Grade C,3.75
